name,accuracy,effect_chance,pp,priority,power,class,type,crit_rate,drain,flinch_chance,healing,max_hits,min_hits,max_turns,min_turns,stat_chance,effect
"sharpen",-1,,30,0,-1,status,normal,0,0,0,0,,,,,0,"Raises the user's Attack by one stage."
"conversion",-1,,30,0,-1,status,normal,0,0,0,0,,,,,0,"User's type changes to the type of one of its moves, selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible, and curse is never eligible.  If the user has no suitable moves, this move will fail."
"tri-attack",100,20,10,0,80,special,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 20% chance to burn, freeze, or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur."
"super-fang",90,,10,0,-1,physical,normal,0,0,0,0,,,,,0,"Inflicts typeless damage equal to half the target's remaining HP."
"slash",100,,20,0,70,physical,normal,1,0,0,0,,,,,0,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move."
"substitute",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"Transfers 1/4 the user's max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.The doll takes damage as normal, using the user's stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's HP still do so; the doll's HP does not influence any move.The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon's stats and types for damage calculation.All other effects work as normal."
"struggle",-1,,1,0,50,physical,normal,0,0,0,-25,,,,,0,"Inflicts typeless regular damage.  User takes 1/4 its max HP in recoil.  Ignores accuracy and evasion modifiers.This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time.This move's recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head.  It also is not prevented by magic guard.This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore."
"sketch",-1,,1,0,-1,status,normal,0,0,0,0,,,,,0,"Permanently replaces itself with the target's last used move.  If that move is chatter or struggle, this move will fail.This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore."
"triple-kick",90,,10,0,10,physical,fighting,0,0,0,0,3,3,,,0,"Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.skill link does not apply."
"thief",100,,25,0,60,physical,dark,0,0,0,0,,,,,0,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.Pokémon with sticky hold or multitype are immune to the item theft effect.The target cannot recover its item with recycle.This move cannot be selected by assist or metronome."
"spider-web",-1,,10,0,-1,status,bug,0,0,0,0,,,,,0,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.The target may still escape by using baton pass, u turn, or a shed shell.Both the user and the target pass on this effect with baton pass."
"mind-reader",-1,,5,0,-1,status,normal,0,0,0,0,,,,,0,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.This effect is passed on by baton pass."
"nightmare",100,,15,0,-1,status,ghost,0,0,0,0,,,,,0,"Only works on sleeping Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends."
"flame-wheel",100,10,25,0,60,physical,fire,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw."
"snore",100,30,15,0,50,special,normal,0,0,30,0,,,,,0,"Only usable if the user is sleeping.  Inflicts regular damage.  Has a 30% chance to make the target flinch."
"curse",-1,,10,0,-1,status,ghost,0,0,0,0,,,,,0,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn.Otherwise: Lowers the user's Speed by one stage, and raises its Attack and Defense by one stage each.The curse effect is passed on by baton pass.This move cannot be copied by mirror move."
"flail",100,,15,0,-1,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.64 * current HP / max HP | Power-----------------------: | ----: 0– 1                    |  200 2– 5                    |  150 6–12                    |  10013–21                    |   8022–42                    |   4043–64                    |   20"
"conversion-2",-1,,30,0,-1,status,normal,0,0,0,0,,,,,0,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail."
"aeroblast",95,,5,0,100,special,flying,1,0,0,0,,,,,0,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move."
"cotton-spore",100,,40,0,-1,status,grass,0,0,0,0,,,,,0,"Lowers the target's Speed by two stages."
"reversal",100,,15,0,-1,physical,fighting,0,0,0,0,,,,,0,"Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.64 * current HP / max HP | Power-----------------------: | ----: 0– 1                    |  200 2– 5                    |  150 6–12                    |  10013–21                    |   8022–42                    |   4043–64                    |   20"
"spite",100,,10,0,-1,status,ghost,0,0,0,0,,,,,0,"Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail."
"powder-snow",100,10,25,0,40,special,ice,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to freeze the target."
"protect",-1,,10,4,-1,status,normal,0,0,0,0,,,,,0,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.thunder during rain dance and blizzard during hail have a 30% chance to break through this move.The following effects are not prevented by this move:* acupressure from an ally* curse's curse effect* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn* feint, which will also end this move's protection after it hits* imprison* perish song* shadow force* Moves that merely copy the user, such as transform or psych upThis move cannot be selected by assist or metronome."
"mach-punch",100,,30,1,40,physical,fighting,0,0,0,0,,,,,0,"Inflicts regular damage."
"scary-face",100,,10,0,-1,status,normal,0,0,0,0,,,,,0,"Lowers the target's Speed by two stages."
"feint-attack",-1,,20,0,60,physical,dark,0,0,0,0,,,,,0,"Inflicts regular damage.  Ignores accuracy and evasion modifiers."
"sweet-kiss",75,,10,0,-1,status,fairy,0,0,0,0,,,5,2,0,"Confuses the target."
"belly-drum",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail."
"sludge-bomb",100,30,10,0,90,special,poison,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to poison the target."
"mud-slap",100,100,10,0,20,special,ground,0,0,0,0,,,,,100,"Inflicts regular damage.  Has a 100% chance to lower the target's accuracy by one stage."
"octazooka",85,50,10,0,65,special,water,0,0,0,0,,,,,50,"Inflicts regular damage.  Has a 50% chance to lower the target's accuracy by one stage."
"spikes",-1,,20,0,-1,status,ground,0,0,0,0,,,,,0,"Scatters spikes around the opposing field, which damage opposing Pokémon that enter the field for 1/8 of their max HP.  Pokémon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP.wonder guard does not block damage from this effect.rapid spin removes this effect from its user's side of the field.  defog removes this effect from its target's side of the field."
"zap-cannon",50,100,5,0,120,special,electric,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 100% chance to paralyze the target."
"foresight",-1,,40,0,-1,status,normal,0,0,0,0,,,,,0,"Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers."
"destiny-bond",-1,,5,0,-1,status,ghost,0,0,0,0,,,,,0,"If the user faints before its next move, the Pokémon that fainted it will automatically faint.  End-of-turn damage is ignored.This move cannot be selected by assist or metronome."
"perish-song",-1,,5,0,-1,status,normal,0,0,0,0,,,4,4,0,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon's counter reaches zero, that Pokémon faints.  A Pokémon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pokémon's counters remain.This effect is passed on by baton pass.This move cannot be copied by mirror move."
"icy-wind",95,100,15,0,55,special,ice,0,0,0,0,,,,,100,"Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage."
"detect",-1,,5,4,-1,status,fighting,0,0,0,0,,,,,0,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.thunder during rain dance and blizzard during hail have a 30% chance to break through this move.The following effects are not prevented by this move:* acupressure from an ally* curse's curse effect* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn* feint, which will also end this move's protection after it hits* imprison* perish song* shadow force* Moves that merely copy the user, such as transform or psych upThis move cannot be selected by assist or metronome."
"bone-rush",90,,10,0,25,physical,ground,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"lock-on",-1,,5,0,-1,status,normal,0,0,0,0,,,,,0,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.This effect is passed on by baton pass."
"outrage",100,,10,0,120,physical,dragon,0,0,0,0,,,,,0,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.safeguard does not protect against the confusion from this move."
"sandstorm",-1,,10,0,-1,status,rock,0,0,0,0,,,,,0,"Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon's original Special Defense is raised by 50% for the duration of this effect.solar beam's power is halved.moonlight, morning sun, and synthesis only heal 1/4 the user's max HP."
"giga-drain",100,,10,0,75,special,grass,0,50,0,0,,,,,0,"Inflicts regular damage.  Drains half the damage inflicted to heal the user."
"endure",-1,,10,4,-1,status,normal,0,0,0,0,,,,,0,"The user's HP cannot be lowered below 1 by any means for the remainder of this turn.If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.This move cannot be selected by assist or metronome."
"charm",100,,20,0,-1,status,fairy,0,0,0,0,,,,,0,"Lowers the target's Attack by two stages."
"rollout",90,,20,0,30,physical,rock,0,0,0,0,,,,,0,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.If the user has used defense curl since entering the field, this move has double power."
"false-swipe",100,,40,0,40,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Will not reduce the target's HP below 1."
"swagger",85,,15,0,-1,status,normal,0,0,0,0,,,5,2,0,"Raises the target's Attack by two stages, then confuses it.  If the target's Attack cannot be raised by two stages, the confusion is not applied."
"milk-drink",-1,,5,0,-1,status,normal,0,0,0,50,,,,,0,"Heals the user for half its max HP."
"spark",100,30,20,0,65,physical,electric,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to paralyze the target."
"fury-cutter",95,,20,0,40,physical,bug,0,0,0,0,,,,,0,"Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets."
"steel-wing",90,10,25,0,70,physical,steel,0,0,0,0,,,,,10,"Inflicts regular damage. Has a 10% chance to raise the user's Defense one stage."
"mean-look",-1,,5,0,-1,status,normal,0,0,0,0,,,,,0,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.The target may still escape by using baton pass, u turn, or a shed shell.Both the user and the target pass on this effect with baton pass."
"attract",100,,15,0,-1,status,normal,0,0,0,0,,,,,0,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends."
"sleep-talk",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"Only usable if the user is sleeping.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 PP.This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn.This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
"heal-bell",-1,,5,0,-1,status,normal,0,0,0,0,,,,,0,"Removes major status effects and confusion from every Pokémon in the user's party."
"return",100,,20,0,-1,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
"present",90,,15,0,-1,physical,normal,0,0,0,0,,,,,0,"Randomly uses one of the following effects.Effect                                             | Chance-------------------------------------------------- | -----:Inflicts regular damage with 40 power  |    40%Inflicts regular damage with 80 power  |    30%Inflicts regular damage with 120 power |    10%Heals the target for 1/4 its max HP    |    20%On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP."
"frustration",100,,20,0,-1,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
"safeguard",-1,,25,0,-1,status,normal,0,0,0,0,,,,,0,"Protects Pokémon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.If yawn is used while this move is in effect, it will immediately fail.defog used by an opponent will end this effect.This effect does not prevent the confusion caused by outrage, petal dance, or thrash."
"pain-split",-1,,20,0,-1,status,normal,0,0,0,0,,,,,0,"Changes the user's and target's remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.This effect fails against a substitute."
"sacred-fire",95,50,5,0,100,physical,fire,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw."
"magnitude",100,,30,0,-1,physical,ground,0,0,0,0,,,,,0,"Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:Magnitude | Power | Chance--------: | ----: | -----:        4 |    10 |     5%        5 |    30 |    10%        6 |    50 |    20%        7 |    70 |    30%        8 |    90 |    20%        9 |   110 |    10%       10 |   150 |     5%This move has double power against Pokémon currently underground due to dig."
"dynamic-punch",50,100,5,0,100,physical,fighting,0,0,0,0,,,5,2,0,"Inflicts regular damage.  Has a 100% chance to confuse the target."
"megahorn",85,,10,0,120,physical,bug,0,0,0,0,,,,,0,"Inflicts regular damage."
"dragon-breath",100,30,20,0,60,special,dragon,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 30% chance to paralyze the target."
"baton-pass",-1,,40,0,-1,status,normal,0,0,0,0,,,,,0,"User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.The following move effects are passed:* aqua ring* both the user's and target's effect of block, mean look, and spider web* the curse effect of curse* embargo* focus energy or an activated lansat berry* gastro acid* ingrain* being sapped by leech seed* being targeted by lock on or mind reader* magnet rise* perish song's counter* power trick* substitute; the doll's HP is unchangedThe replacement Pokémon does not trigger effects that respond to Pokémon switching in."
"encore",100,,5,0,-1,status,normal,0,0,0,0,,,,,0,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail."
"pursuit",100,,20,0,40,physical,dark,0,0,0,0,,,,,0,"Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me."
"rapid-spin",100,100,40,0,50,physical,normal,0,0,0,0,,,,,100,"Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate."
"sweet-scent",100,,20,0,-1,status,normal,0,0,0,0,,,,,0,"Lowers the target's evasion by one stage."
"iron-tail",75,30,15,0,100,physical,steel,0,0,0,0,,,,,30,"Inflicts regular damage.  Has a 30% chance to lower the target's Defense by one stage."
"metal-claw",95,10,35,0,50,physical,steel,0,0,0,0,,,,,10,"Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage."
"vital-throw",-1,,10,-1,70,physical,fighting,0,0,0,0,,,,,0,"Inflicts regular damage.  Ignores accuracy and evasion modifiers."
"morning-sun",-1,,5,0,-1,status,normal,0,0,0,50,,,,,0,"Heals the user for half its max HP.During sunny day, the healing is increased to 2/3 max HP.During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
"synthesis",-1,,5,0,-1,status,grass,0,0,0,50,,,,,0,"Heals the user for half its max HP.During sunny day, the healing is increased to 2/3 max HP.During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
"moonlight",-1,,5,0,-1,status,fairy,0,0,0,50,,,,,0,"Heals the user for half its max HP.During sunny day, the healing is increased to 2/3 max HP.During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
"hidden-power",100,,15,0,60,special,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Power and type are determined by the user's IVs.Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)Power is always between 30 and 70, inclusive.  Average power is 49.5.Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.Value | Type----: | --------    0 | fighting    1 | flying    2 | poison    3 | ground    4 | rock    5 | bug    6 | ghost    7 | steel    8 | fire    9 | water   10 | grass   11 | electric   12 | psychic   13 | ice   14 | dragon   15 | darkThis move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time."
"cross-chop",80,,5,0,100,physical,fighting,1,0,0,0,,,,,0,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move."
"twister",100,20,20,0,40,special,dragon,0,0,20,0,,,,,0,"Inflicts regular damage.  Has a 20% chance to make each target flinch.If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
"rain-dance",-1,,5,0,-1,status,water,0,0,0,0,,,,,0,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.If the user is holding damp rock, this effect lasts for eight turns.thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.solar beam has half power.moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.Pokémon with swift swim have doubled original Speed.Pokémon with forecast become water.Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn."
"sunny-day",-1,,5,0,-1,status,fire,0,0,0,0,,,,,0,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.If the user is holding heat rock, this effect lasts for eight turns.Pokémon cannot become frozen.thunder has 50% accuracy.solar beam skips its charge turn.moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.Pokémon with chlorophyll have doubled original Speed.Pokémon with forecast become fire.Pokémon with leaf guard are not affected by major status effects.Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.Pokémon with dry skin lose 1/8 max HP at the end of each turn.Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn."
"crunch",100,20,15,0,80,physical,dark,0,0,0,0,,,,,20,"Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage."
"mirror-coat",100,,20,-5,-1,special,psychic,0,0,0,0,,,,,0,"Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.This move cannot be copied by mirror move, nor selected by assist or metronome."
"psych-up",-1,,10,0,-1,status,normal,0,0,0,0,,,,,0,"Discards the user's stat changes and copies the target's.This move cannot be copied by mirror move."
"extreme-speed",100,,5,2,80,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"ancient-power",100,10,5,0,60,special,rock,0,0,0,0,,,,,10,"Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage."
"shadow-ball",100,20,15,0,80,special,ghost,0,0,0,0,,,,,20,"Inflicts regular damage.  Has a 20% chance to lower the target's Special Defense by one stage."
"future-sight",100,,10,0,120,special,psychic,0,0,0,0,,,,,0,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.This effect breaks through wonder guard.If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.The damage is applied at the end of the turn, so it ignores endure and focus sash.This move cannot be copied by mirror move."
"rock-smash",100,50,15,0,40,physical,fighting,0,0,0,0,,,,,50,"Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage."
"whirlpool",85,100,15,0,35,special,water,0,0,0,0,,,6,5,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.If the target is in the first turn of dive, this move will hit with double power."
"beat-up",100,,10,0,-1,physical,dark,0,0,0,0,6,6,,,0,"Inflicts typeless regular damage.  Every Pokémon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.This effect breaks through wonder guard."
"fake-out",100,100,10,3,40,physical,normal,0,0,100,0,,,,,0,"Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field."
"uproar",100,,10,0,90,special,normal,0,0,0,0,,,3,3,0,"Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and -1 can fall to sleep until the lock-in ends.Pokémon cannot use rest during this effect.This move cannot be selected by sleep talk."
"stockpile",-1,,20,0,-1,status,normal,0,0,0,0,,,,,0,"Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not."
"spit-up",100,,10,0,-1,special,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.This move cannot be copied by mirror move."
"swallow",-1,,10,0,-1,status,normal,0,0,0,25,,,,,0,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail."
"heat-wave",90,10,10,0,95,special,fire,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to burn the target."
"hail",-1,,10,0,-1,status,ice,0,0,0,0,,,,,0,"Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.If the user is holding icy rock, this effect lasts for eight turns.blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.Pokémon with snow cloak are exempt from this effect's damage."
"torment",100,,15,0,-1,status,dark,0,0,0,0,,,,,0,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn't use that move this turn."
"flatter",100,,15,0,-1,status,dark,0,0,0,0,,,5,2,0,"Raises the target's Special Attack by one stage, then confuses it."
"will-o-wisp",85,,15,0,-1,status,fire,0,0,0,0,,,,,0,"Burns the target."
"memento",100,,10,0,-1,status,dark,0,0,0,0,,,,,0,"Lowers the target's Attack and Special Attack by two stages.  User faints."
"facade",100,,20,0,70,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power."
"focus-punch",100,,20,-3,150,physical,fighting,0,0,0,0,,,,,0,"Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
"smelling-salts",100,,10,0,70,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis."
